# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX22720573_cds.txt" "SRX22720573.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX22720573.bam
ZMO1_ZMO0446	CP023715.1	443686	445092	+	1407	7074
ZMO1_ZMO0447	CP023715.1	445110	445421	+	312	458
ZMO1_ZMO0448	CP023715.1	445437	446087	-	651	3576
ZMO1_ZMO0449	CP023715.1	446920	447684	+	765	14882
ZMO1_ZMO0452	CP023715.1	447707	449191	+	1485	12810
ZMO1_ZMO0453	CP023715.1	449258	450622	+	1365	8483
ZMO1_ZMO0454	CP023715.1	450686	452359	-	1674	34632
ZMO1_ZMO0456	CP023715.1	452789	453106	+	318	1343
ZMO1_ZMO0457	CP023715.1	453232	453726	+	495	2138
ZMO1_ZMO0458	CP023715.1	453723	454421	-	699	1366
ZMO1_ZMO0459	CP023715.1	454414	455664	-	1251	7116
ZMO1_ZMO0460	CP023715.1	455661	456992	-	1332	24505
ZMO1_ZMO0462	CP023715.1	457482	459116	-	1635	30484
ZMO1_ZMO0464	CP023715.1	459255	459614	-	360	6702
ZMO1_ZMO0465	CP023715.1	459863	460612	-	750	8917
