Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
SRX14570269	7789640.0	13527944	148.6914404151435	150	93.34	49.0	0.5684192215157223	8345837.0	81.04605925085764	82.49378337679504	18.181818181818183
SRX14570270	10147049.0	17814246	148.64992139363562	150	93.76	49.0	0.46778363083599117	10822915.0	82.29874299114425	83.5615855927257	18.181818181818183
SRX14570271	8838196.0	15126428	148.61724337039368	150	93.48	49.0	0.542946464545086	9454219.0	79.99829494112628	82.64486792561087	18.181818181818183
SRX14570272	9261203.0	15915282	148.58274900718177	150	92.11	50.0	0.5720035572994651	10054459.0	79.14539210911298	83.65681069860143	18.181818181818183
SRX14570273	9276837.0	15993819	148.68090451838	150	91.94	50.0	0.47924352031354106	10090497.0	79.25188917850132	83.89917627937358	18.181818181818183
SRX14570274	10532338.0	18091443	148.64966156263074	150	93.0	49.0	0.495672234184731	11325286.0	79.87190345568315	84.39430465002853	18.181818181818183
SRX14570275	10793916.0	18601784	148.59942810533283	150	93.55	49.0	0.5583325050061437	11537789.0	80.61242929646227	84.21090799727918	18.181818181818183
SRX14570276	9866933.0	17124942	148.60855006036002	150	92.98	49.0	0.5516772705033944	10612159.0	80.68547597147763	83.55642690166785	18.181818181818183
SRX14570277	13016828.0	22431744	148.57355733890944	150	93.11	49.0	0.5273803154584963	13979652.0	80.22997997375042	85.65412699733164	27.27272727272727
SRX14953908	15258946.0	24092674	99.0395559910202	100	37.61	52.0	0.727595144412357	40576837.0	29.687718143235266	94.76584854323464	20.0
