Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
SRX3316537	0	0	2624246	0	0	0	44221016	80.0653109348741	0	0	6105597	0	38293	55231180	0	2214860	27168
SRX3316538	0	0	2518814	0	0	0	44853079	83.60412375453784	0	0	3379288	0	81677	53649362	0	2785810	30694
SRX3316539	0	0	2340886	0	0	0	41847059	84.81037519625812	0	0	3233126	0	63647	49341910	0	1831508	25684
SRX3316540	0	0	2646123	0	0	0	48671252	82.56188835673906	0	0	4111845	0	64386	58951234	0	3427808	29820
SRX3316541	0	0	3277952	0	0	0	49895655	82.6308765978419	0	0	4975167	0	88381	60383790	0	2115026	31609
SRX3316542	0	0	2721502	0	0	0	45265845	83.87788549178522	0	0	3661312	0	72892	53966364	0	2218198	26615
SRX3316543	0	0	2953912	0	0	0	51102772	84.80414408567654	0	0	3741624	0	95619	60259758	0	2327116	38715
SRX3316544	0	0	2343359	0	0	0	39861538	83.56116392981922	0	0	3280862	0	68377	47703426	0	2120948	28342
SRX3316545	0	0	2091582	0	0	0	39078095	84.42999735765301	0	0	2877362	0	173448	46284610	0	2036088	28035
SRX3316546	0	0	2458693	0	0	0	46891992	85.0734465248928	0	0	3399261	0	148529	55119422	0	2184346	36601
SRX3316547	0	0	1871791	0	0	0	37038276	85.41730903672787	0	0	2636551	0	205403	43361558	0	1585424	24113
SRX3316548	0	0	2178822	0	0	0	40458161	85.80126971292127	0	0	2723441	0	140900	47153336	0	1629528	22484
SRX3316549	0	0	2179005	0	0	0	39273358	85.822346630311	0	0	2773235	0	79538	45761226	0	1431566	24524
SRX3316550	0	0	2640905	0	0	0	47213640	85.62262654006835	0	0	3130676	0	93304	55141546	0	2032662	30359
SRX3316551	0	0	2095172	0	0	0	49122606	83.89961888502093	0	0	4865052	0	459374	58549260	0	1973286	33770
SRX3316552	0	0	2737565	0	0	0	44760965	83.83247164675002	0	0	3894842	0	76394	53393350	0	1900624	22960
SRX3316553	0	0	2492236	0	0	0	41778393	83.90693635797675	0	0	3202361	0	83991	49791346	0	2208940	25425
SRX3316554	0	0	2560279	0	0	0	42202441	82.30150892063602	0	0	4422471	0	58909	51277846	0	2010190	23556
SRX3316555	0	0	2046498	0	0	0	36957393	82.0025389741451	0	0	4017973	0	80287	45068596	0	1941006	25439
SRX3316556	0	0	2611335	0	0	0	39385078	82.38991747720041	0	0	4116583	0	34785	47803274	0	1630916	24577
SRX3316557	0	0	2514275	0	0	0	44478944	84.40463922289415	0	0	3515280	0	89982	52697274	0	2067946	30847
SRX3316558	0	0	2122118	0	0	0	37901664	84.6069332226125	0	0	2570448	0	240378	44797350	0	1936518	26224
